Subject,Start Date,Start Time,End Time,Description,Location
Vector Calculus-LECT,03/28/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/04/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/11/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/18/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/25/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,05/02/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,01/19/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,01/26/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/02/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/09/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/16/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/23/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/02/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/09/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
